"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"23545","FC",93.7,7,"L","R","hit_into_play","X","ground_ball",1,0,NA,NA,NA,0,2
"23546","SI",90.5,2,"R","L","foul","S",NA,0,0,NA,NA,NA,1,1
"23547","SL",81.2,1,"L","L","swinging_strike","S",NA,2,1,456715,NA,598265,2,4
"23548","FC",90,6,"L","R","hit_into_play","X","fly_ball",2,2,NA,NA,NA,0,7
"23549","FF",95.3,9,"L","R","hit_into_play","X","line_drive",3,0,NA,543063,NA,2,4
"23550","CH",82.3,4,"L","R","foul","S",NA,0,0,NA,NA,NA,0,1
"23551","FF",92.1,4,"L","R","hit_into_play","X","ground_ball",0,0,NA,NA,NA,0,1
"23552","FF",93.4,6,"R","L","foul","S",NA,0,1,NA,NA,NA,1,2
"23553","CU",82.5,13,"L","R","blocked_ball","B",NA,0,2,668227,NA,NA,2,3
"23554","FC",84.5,4,"R","L","foul","S",NA,1,2,NA,NA,NA,0,4
"23555","FF",98.7,2,"R","R","called_strike","S",NA,0,0,NA,NA,NA,1,1
"23556","SL",85.2,7,"R","L","hit_into_play","X","fly_ball",0,1,NA,NA,NA,1,2
"23557","CH",83.9,11,"L","R","ball","B",NA,1,0,NA,NA,NA,2,2
"23558","SI",95.1,8,"L","R","foul","S",NA,0,1,NA,NA,NA,0,2
"23559","SL",89.3,13,"R","L","ball","B",NA,2,2,NA,NA,NA,0,5
"23560","FF",92.2,7,"L","R","hit_into_play","X","line_drive",2,1,NA,NA,NA,2,4
"23561","SL",84.9,11,"L","R","called_strike","S",NA,1,1,NA,NA,NA,2,3
"23562","SL",83,14,"R","R","foul","S",NA,1,2,NA,NA,NA,1,4
"23563","CH",81.2,13,"L","L","ball","B",NA,1,2,NA,NA,NA,0,4
"23564","CU",80.1,14,"R","R","ball","B",NA,0,0,592669,503556,624414,1,1
"23565","FF",96.2,14,"L","R","ball","B",NA,0,1,666971,NA,572816,0,2
"23566","FF",94.4,14,"L","R","hit_into_play","X","line_drive",2,1,NA,553993,452678,1,4
"23567","SL",87.1,14,"R","R","ball","B",NA,1,2,NA,NA,NA,0,5
"23568","FF",95.5,1,"R","R","foul","S",NA,1,0,NA,NA,NA,0,2
"23569","FC",96.7,5,"R","R","foul","S",NA,1,0,NA,NA,518626,2,2
