"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
34,674441,"Hurtubise, Jacob",34,100,0.143,0,0.167,0.143,0.198,0.318,0.273,1,7,78.6,22.5,2358,91,91.47,2,16,18,0.5,6.56,113,144,105,152,286,313,295,"1.1","-1.1",63.91944735674664,"6.746545"
33,663330,"Jones, Jahmai",33,100,0.25,0.375,0.333,0.625,0.441,0.384,0.198,2,8,92.9,7.7,2343,82.2,81.76,7,16,17,-0.4000000000000057,6.16,104,153,116,146,306,319,289,"-1.7","1.7",69.14145180969793,"7.729861429"
32,678489,"Barrosa, Jorge",33,97,0.222,0.111,0.25,0.333,0.241,0.398,0.398,2,9,85,14.5,2303,91.4,91.46,3,17,15,0.09999999999999432,6.3,109,149,99,149,297,327,289,"0.5","-0.5",64.65537977575056,"7.432725556"
32,592200,"Casali, Curt",33,97,0.5,0,0.5,0.5,0.553,0.449,0.284,2,4,85,11.3,2117,88.4,88.35,1,11,21,0,6.21,114,144,121,138,298,322,290,"-2.3","2.3",66.52519757074461,"7.254797273"
28,660844,"Rivas, Leo",28,100,0.333,0.333,0.667,0.667,0.419,0.157,0.146,2,6,89.2,11,2335,89.2,89.74,4,8,20,0.5,6.79,111,148,105,152,295,321,290,"-0.1","0.1",64.33437882231864,"7.21281625"
27,668723,"Vilade, Ryan",27,100,0.222,0,0.25,0.222,0.248,0.326,0.311,2,9,89.3,-13.6,2311,88.6,88.97,3,12,15,0.4000000000000057,6.51,106,150,119,145,297,318,292,"0","0",76.28658646501927,"7.621949167"
27,664058,"Fletcher, David",27,100,0.25,0,0.25,0.25,0.198,0.144,0.097,2,8,80.7,14,2220,89.3,89.33,0,15,12,0,6.43,106,149,109,148,295,302,266,"0.9","-0.9",65.11325602575884,"6.673566"
25,668843,"Capel, Conner",25,100,0.25,0,0.333,0.25,0.223,0.187,0.19,2,8,87.7,10.8,2483,89.8,90.76,4,16,9,1,6.84,118,146,108,153,291,315,296,"0.8","-0.8",68.24568198892342,"7.735452667"
24,663630,"McKenna, Ryan",24,100,0.375,0.75,0.2,1.125,0.642,0.42,0.278,3,8,87.3,20.1,2378,90.1,90.83,2,12,12,0.7000000000000028,6.72,114,150,109,149,298,315,280,"-1","1",71.94756552278336,"7.551196667"
22,669065,"Stowers, Kyle",22,100,0.2,0,0.333,0.2,0.179,0.169,0.186,1,5,83.2,40.3,2143,92.9,92.94,8,14,8,0,6.37,120,148,120,152,299,326,303,"0.7","-0.7",75.50629315468038,"7.154388571"
